Date,TicketID,Team,Channel,AHT_Min,ResolutionDays,SLA_Met,Escalated,CSAT_5
2026-08-06,TKT-0095,Delta,Email,16,4,0,0,5
2026-08-07,TKT-0096,Alpha,Chat,17,1,1,0,3
2026-08-08,TKT-0097,Beta,Phone,18,2,1,0,4
2026-08-09,TKT-0098,Gamma,Email,5,3,1,0,5
2026-08-10,TKT-0099,Delta,Chat,6,4,1,0,3
2026-08-11,TKT-0100,Alpha,Phone,7,1,0,0,4
2026-08-12,TKT-0101,Beta,Email,8,2,1,0,5
2026-08-13,TKT-0102,Gamma,Chat,9,3,1,0,3
2026-08-14,TKT-0103,Delta,Phone,10,4,1,0,4
2026-08-15,TKT-0104,Alpha,Email,11,1,1,1,5
2026-08-16,TKT-0105,Beta,Chat,12,2,0,0,3
2026-08-17,TKT-0106,Gamma,Phone,13,3,1,0,4
2026-08-18,TKT-0107,Delta,Email,14,4,1,0,5
2026-08-19,TKT-0108,Alpha,Chat,15,1,1,0,3
2026-08-20,TKT-0109,Beta,Phone,16,2,1,0,4
2026-08-21,TKT-0110,Gamma,Email,17,3,0,0,5
2026-08-22,TKT-0111,Delta,Chat,18,4,1,0,3
2026-08-23,TKT-0112,Alpha,Phone,5,1,1,0,4
2026-08-24,TKT-0113,Beta,Email,6,2,1,0,5
2026-08-25,TKT-0114,Gamma,Chat,7,3,1,0,3
2026-08-26,TKT-0115,Delta,Phone,8,4,0,0,4
2026-08-27,TKT-0116,Alpha,Email,9,1,1,0,5
2026-08-28,TKT-0117,Beta,Chat,10,2,1,1,3
2026-08-29,TKT-0118,Gamma,Phone,11,3,1,0,4
2026-08-30,TKT-0119,Delta,Email,12,4,1,0,5
2026-08-01,TKT-0120,Alpha,Chat,13,1,0,0,3
2026-08-02,TKT-0121,Beta,Phone,14,2,1,0,4
2026-08-03,TKT-0122,Gamma,Email,15,3,1,0,5
2026-08-04,TKT-0123,Delta,Chat,16,4,1,0,3
2026-08-05,TKT-0124,Alpha,Phone,17,1,1,0,4
2026-08-06,TKT-0125,Beta,Email,18,2,0,0,5
2026-08-07,TKT-0126,Gamma,Chat,5,3,1,0,3
2026-08-08,TKT-0127,Delta,Phone,6,4,1,0,4
2026-08-09,TKT-0128,Alpha,Email,7,1,1,0,5
2026-08-10,TKT-0129,Beta,Chat,8,2,1,0,3
2026-08-11,TKT-0130,Gamma,Phone,9,3,0,1,4
2026-08-12,TKT-0131,Delta,Email,10,4,1,0,5
2026-08-13,TKT-0132,Alpha,Chat,11,1,1,0,3
2026-08-14,TKT-0133,Beta,Phone,12,2,1,0,4
2026-08-15,TKT-0134,Gamma,Email,13,3,1,0,5
2026-08-16,TKT-0135,Delta,Chat,14,4,0,0,3
2026-08-17,TKT-0136,Alpha,Phone,15,1,1,0,4
2026-08-18,TKT-0137,Beta,Email,16,2,1,0,5
2026-08-19,TKT-0138,Gamma,Chat,17,3,1,0,3
2026-08-20,TKT-0139,Delta,Phone,18,4,1,0,4
2026-08-21,TKT-0140,Alpha,Email,5,1,0,0,5
2026-08-22,TKT-0141,Beta,Chat,6,2,1,0,3
2026-08-23,TKT-0142,Gamma,Phone,7,3,1,0,4
2026-08-24,TKT-0143,Delta,Email,8,4,1,1,5
2026-08-25,TKT-0144,Alpha,Chat,9,1,1,0,3
2026-08-26,TKT-0145,Beta,Phone,10,2,0,0,4
2026-08-27,TKT-0146,Gamma,Email,11,3,1,0,5
2026-08-28,TKT-0147,Delta,Chat,12,4,1,0,3
2026-08-29,TKT-0148,Alpha,Phone,13,1,1,0,4
2026-08-30,TKT-0149,Beta,Email,14,2,1,0,5
2026-08-01,TKT-0150,Gamma,Chat,15,3,0,0,3
2026-08-02,TKT-0151,Delta,Phone,16,4,1,0,4
2026-08-03,TKT-0152,Alpha,Email,17,1,1,0,5
2026-08-04,TKT-0153,Beta,Chat,18,2,1,0,3
2026-08-05,TKT-0154,Gamma,Phone,5,3,1,0,4
2026-08-06,TKT-0155,Delta,Email,6,4,0,0,5
2026-08-07,TKT-0156,Alpha,Chat,7,1,1,1,3
2026-08-08,TKT-0157,Beta,Phone,8,2,1,0,4
2026-08-09,TKT-0158,Gamma,Email,9,3,1,0,5
2026-08-10,TKT-0159,Delta,Chat,10,4,1,0,3
2026-08-11,TKT-0160,Alpha,Phone,11,1,0,0,4
2026-08-12,TKT-0161,Beta,Email,12,2,1,0,5
2026-08-13,TKT-0162,Gamma,Chat,13,3,1,0,3
2026-08-14,TKT-0163,Delta,Phone,14,4,1,0,4
2026-08-15,TKT-0164,Alpha,Email,15,1,1,0,5
2026-08-16,TKT-0165,Beta,Chat,16,2,0,0,3
2026-08-17,TKT-0166,Gamma,Phone,17,3,1,0,4
2026-08-18,TKT-0167,Delta,Email,18,4,1,0,5
2026-08-19,TKT-0168,Alpha,Chat,5,1,1,0,3
2026-08-20,TKT-0169,Beta,Phone,6,2,1,1,4
2026-08-21,TKT-0170,Gamma,Email,7,3,0,0,5
2026-08-22,TKT-0171,Delta,Chat,8,4,1,0,3
2026-08-23,TKT-0172,Alpha,Phone,9,1,1,0,4
2026-08-24,TKT-0173,Beta,Email,10,2,1,0,5
2026-08-25,TKT-0174,Gamma,Chat,11,3,1,0,3
2026-08-26,TKT-0175,Delta,Phone,12,4,0,0,4
2026-08-27,TKT-0176,Alpha,Email,13,1,1,0,5
2026-08-28,TKT-0177,Beta,Chat,14,2,1,0,3
2026-08-29,TKT-0178,Gamma,Phone,15,3,1,0,4
2026-08-30,TKT-0179,Delta,Email,16,4,1,0,5
2026-08-01,TKT-0180,Alpha,Chat,17,1,0,0,3
2026-08-02,TKT-0181,Beta,Phone,18,2,1,0,4
2026-08-03,TKT-0182,Gamma,Email,5,3,1,1,5
2026-08-04,TKT-0183,Delta,Chat,6,4,1,0,3
2026-08-05,TKT-0184,Alpha,Phone,7,1,1,0,4
2026-08-06,TKT-0185,Beta,Email,8,2,0,0,5
2026-08-07,TKT-0186,Gamma,Chat,9,3,1,0,3
2026-08-08,TKT-0187,Delta,Phone,10,4,1,0,4
2026-08-09,TKT-0188,Alpha,Email,11,1,1,0,5
2026-08-10,TKT-0189,Beta,Chat,12,2,1,0,3
2026-08-11,TKT-0190,Gamma,Phone,13,3,0,0,4
2026-08-12,TKT-0191,Delta,Email,14,4,1,0,5
2026-08-13,TKT-0192,Alpha,Chat,15,1,1,0,3
2026-08-14,TKT-0193,Beta,Phone,16,2,1,0,4
2026-08-15,TKT-0194,Gamma,Email,17,3,1,0,5
2026-08-16,TKT-0195,Delta,Chat,18,4,0,1,3
2026-08-17,TKT-0196,Alpha,Phone,5,1,1,0,4
2026-08-18,TKT-0197,Beta,Email,6,2,1,0,5
2026-08-19,TKT-0198,Gamma,Chat,7,3,1,0,3
2026-08-20,TKT-0199,Delta,Phone,8,4,1,0,4
2026-08-21,TKT-0200,Alpha,Email,9,1,0,0,5
2026-08-22,TKT-0201,Beta,Chat,10,2,1,0,3
2026-08-23,TKT-0202,Gamma,Phone,11,3,1,0,4
2026-08-24,TKT-0203,Delta,Email,12,4,1,0,5
2026-08-25,TKT-0204,Alpha,Chat,13,1,1,0,3
2026-08-26,TKT-0205,Beta,Phone,14,2,0,0,4
2026-08-27,TKT-0206,Gamma,Email,15,3,1,0,5
2026-08-28,TKT-0207,Delta,Chat,16,4,1,0,3
2026-08-29,TKT-0208,Alpha,Phone,17,1,1,1,4
2026-08-30,TKT-0209,Beta,Email,18,2,1,0,5
2026-08-01,TKT-0210,Gamma,Chat,5,3,0,0,3
2026-08-02,TKT-0211,Delta,Phone,6,4,1,0,4
2026-08-03,TKT-0212,Alpha,Email,7,1,1,0,5
2026-08-04,TKT-0213,Beta,Chat,8,2,1,0,3
2026-08-05,TKT-0214,Gamma,Phone,9,3,1,0,4
2026-08-06,TKT-0215,Delta,Email,10,4,0,0,5
2026-08-07,TKT-0216,Alpha,Chat,11,1,1,0,3
2026-08-08,TKT-0217,Beta,Phone,12,2,1,0,4
2026-08-09,TKT-0218,Gamma,Email,13,3,1,0,5
2026-08-10,TKT-0219,Delta,Chat,14,4,1,0,3
2026-08-11,TKT-0220,Alpha,Phone,15,1,0,0,4
2026-08-12,TKT-0221,Beta,Email,16,2,1,1,5
2026-08-13,TKT-0222,Gamma,Chat,17,3,1,0,3
2026-08-14,TKT-0223,Delta,Phone,18,4,1,0,4
2026-08-15,TKT-0224,Alpha,Email,5,1,1,0,5
2026-08-16,TKT-0225,Beta,Chat,6,2,0,0,3
2026-08-17,TKT-0226,Gamma,Phone,7,3,1,0,4
2026-08-18,TKT-0227,Delta,Email,8,4,1,0,5
2026-08-19,TKT-0228,Alpha,Chat,9,1,1,0,3
2026-08-20,TKT-0229,Beta,Phone,10,2,1,0,4
2026-08-21,TKT-0230,Gamma,Email,11,3,0,0,5
2026-08-22,TKT-0231,Delta,Chat,12,4,1,0,3
2026-08-23,TKT-0232,Alpha,Phone,13,1,1,0,4
2026-08-24,TKT-0233,Beta,Email,14,2,1,0,5
2026-08-25,TKT-0234,Gamma,Chat,15,3,1,1,3
2026-08-26,TKT-0235,Delta,Phone,16,4,0,0,4
2026-08-27,TKT-0236,Alpha,Email,17,1,1,0,5
2026-08-28,TKT-0237,Beta,Chat,18,2,1,0,3
2026-08-29,TKT-0238,Gamma,Phone,5,3,1,0,4
2026-08-30,TKT-0239,Delta,Email,6,4,1,0,5
2026-08-01,TKT-0240,Alpha,Chat,7,1,0,0,3
2026-08-02,TKT-0241,Beta,Phone,8,2,1,0,4
2026-08-03,TKT-0242,Gamma,Email,9,3,1,0,5
2026-08-04,TKT-0243,Delta,Chat,10,4,1,0,3
2026-08-05,TKT-0244,Alpha,Phone,11,1,1,0,4
2026-08-06,TKT-0245,Beta,Email,12,2,0,0,5
2026-08-07,TKT-0246,Gamma,Chat,13,3,1,0,3
2026-08-08,TKT-0247,Delta,Phone,14,4,1,1,4
2026-08-09,TKT-0248,Alpha,Email,15,1,1,0,5
2026-08-10,TKT-0249,Beta,Chat,16,2,1,0,3
2026-08-11,TKT-0250,Gamma,Phone,17,3,0,0,4
2026-08-12,TKT-0251,Delta,Email,18,4,1,0,5
2026-08-13,TKT-0252,Alpha,Chat,5,1,1,0,3
2026-08-14,TKT-0253,Beta,Phone,6,2,1,0,4
2026-08-15,TKT-0254,Gamma,Email,7,3,1,0,5
2026-08-16,TKT-0255,Delta,Chat,8,4,0,0,3
2026-08-17,TKT-0256,Alpha,Phone,9,1,1,0,4
2026-08-18,TKT-0257,Beta,Email,10,2,1,0,5
2026-08-19,TKT-0258,Gamma,Chat,11,3,1,0,3
2026-08-20,TKT-0259,Delta,Phone,12,4,1,0,4
2026-08-21,TKT-0260,Alpha,Email,13,1,0,1,5
2026-08-22,TKT-0261,Beta,Chat,14,2,1,0,3
2026-08-23,TKT-0262,Gamma,Phone,15,3,1,0,4
2026-08-24,TKT-0263,Delta,Email,16,4,1,0,5
2026-08-25,TKT-0264,Alpha,Chat,17,1,1,0,3
2026-08-26,TKT-0265,Beta,Phone,18,2,0,0,4
2026-08-27,TKT-0266,Gamma,Email,5,3,1,0,5
2026-08-28,TKT-0267,Delta,Chat,6,4,1,0,3
2026-08-29,TKT-0268,Alpha,Phone,7,1,1,0,4
2026-08-30,TKT-0269,Beta,Email,8,2,1,0,5
2026-08-01,TKT-0270,Gamma,Chat,9,3,0,0,3
2026-08-02,TKT-0271,Delta,Phone,10,4,1,0,4
2026-08-03,TKT-0272,Alpha,Email,11,1,1,0,5
2026-08-04,TKT-0273,Beta,Chat,12,2,1,1,3
2026-08-05,TKT-0274,Gamma,Phone,13,3,1,0,4
2026-08-06,TKT-0275,Delta,Email,14,4,0,0,5
2026-08-07,TKT-0276,Alpha,Chat,15,1,1,0,3
2026-08-08,TKT-0277,Beta,Phone,16,2,1,0,4
2026-08-09,TKT-0278,Gamma,Email,17,3,1,0,5
2026-08-10,TKT-0279,Delta,Chat,18,4,1,0,3
2026-08-11,TKT-0280,Alpha,Phone,5,1,0,0,4
2026-08-12,TKT-0281,Beta,Email,6,2,1,0,5
2026-08-13,TKT-0282,Gamma,Chat,7,3,1,0,3
2026-08-14,TKT-0283,Delta,Phone,8,4,1,0,4
2026-08-15,TKT-0284,Alpha,Email,9,1,1,0,5
2026-08-16,TKT-0285,Beta,Chat,10,2,0,0,3
2026-08-17,TKT-0286,Gamma,Phone,11,3,1,1,4
2026-08-18,TKT-0287,Delta,Email,12,4,1,0,5
2026-08-19,TKT-0288,Alpha,Chat,13,1,1,0,3
2026-08-20,TKT-0289,Beta,Phone,14,2,1,0,4
2026-08-21,TKT-0290,Gamma,Email,15,3,0,0,5
2026-08-22,TKT-0291,Delta,Chat,16,4,1,0,3
2026-08-23,TKT-0292,Alpha,Phone,17,1,1,0,4
2026-08-24,TKT-0293,Beta,Email,18,2,1,0,5
2026-08-25,TKT-0294,Gamma,Chat,5,3,1,0,3
2026-08-26,TKT-0295,Delta,Phone,6,4,0,0,4
2026-08-27,TKT-0296,Alpha,Email,7,1,1,0,5
2026-08-28,TKT-0297,Beta,Chat,8,2,1,0,3
2026-08-29,TKT-0298,Gamma,Phone,9,3,1,0,4
2026-08-30,TKT-0299,Delta,Email,10,4,1,1,5
2026-08-01,TKT-0300,Alpha,Chat,11,1,0,0,3
